"EHI_number","sample_code","species","region","sample_type","order","sex","country","latitude","longitude","singlem_fraction","reads_post_fastp","host_reads","reads_lost_fastp_percent","metagenomic_bases","host_bases","bases_lost_fastp_percent","diversity","C","Transect","Sampling_point","Elevation","World_cover_2021_code","World_cover_2021_class","World_cover_2021_quality","Copernicus_cover_2018_code","Copernicus_cover_2018_class","Copernicus_water_2018_code","Copernicus_water_2018_class","Copernicus_tree_cover_2018_code","Copernicus_tree_cover_2018_class","Copernicus_Imperviousness_2018_code","Copernicus_Imperviousness_2018_class","Copernicus_grassland_2018_code","Copernicus_grassland_2018_class","Copernicus_forest_type_2018_code","Copernicus_forest_type_2018_class","Copernicus_dominant_leaf_type_2018_code","Copernicus_dominant_leaf_type_2018_class","Precipitation","Tmin","Tmax","Predicted_Elevation"
"EHI00507","ADM79E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.91491,0.14248,0.6353,49502244,894836,0.02298398,7055747725,136492692,0.053654469,19.06532701,0.910228089,"Sentein","J",2134,30,"Grassland",94,26,"Natural_grassland",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",65.80000305,6,20,2046.3210628431
"EHI00426","ADM28E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.90711,0.16218,0.6743,53815958,2749064,0.0232090757843765,7284549263,374841259,0.073184061,17.71484465,0.945072674,"Sentein","I",1797,30,"Grassland",94,2,"Discontinous_urban_fabric",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",NA,"Outside area",1,"Broadleaved trees",65.80000305,6,20,1832.24347993372
"EHI00435","ADM21E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.90711,0.16218,0.5496,18130660,4580564,0.214488209390324,1915763753,658142301,0.256569239311154,15.84314643,0.998509881,"Sentein","I",1797,30,"Grassland",94,2,"Discontinous_urban_fabric",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",1,"Broadleaved_forest",1,"Broadleaved trees",65.80000305,6,20,1832.24347993372
"EHI00537","ADM66E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.90711,0.16218,0.2899,28356294,583898,0.0263321609563794,3912337856,89579032,0.083909962,19.62215489,0.719737555,"Sentein","I",1797,30,"Grassland",94,2,"Discontinous_urban_fabric",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",NA,"Outside area",3,"Outside area",65.80000305,6,20,1832.24347993372
"EHI00568","ADM61E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.90711,0.16218,0.5422,39594014,1553132,0.031870412,5390835348,219110833,0.085525927,18.82230149,0.904231713,"Sentein","I",1797,30,"Grassland",94,2,"Discontinous_urban_fabric",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",NA,"Outside area",3,"Outside area",65.80000305,6,20,1832.24347993372
"EHI00456","ADJ06E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.90993,0.17106,0.7419,38217606,634742,0.0532813535228736,5383346336,97152439,0.094921438,17.47863332,0.926381445,"Sentein","I",1797,30,"Grassland",94,2,"Discontinous_urban_fabric",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",NA,"Outside area",3,"Outside area",69.09999847,6,20,1744.09470523764
"EHI00438","ADJ97E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.92098,0.18892,0.6462,39344568,685240,0.0160689742096956,5603662321,100587490,0.048985471,18.65397778,0.908337326,"Sentein","H",1561,30,"Grassland",90,26,"Natural_grassland",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",68.59999847,8,22,1625.09124221976
"EHI00462","ADJ93E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.92098,0.18892,0.6255,45679022,2206900,0.0322667150374185,6235593465,330809687,0.072582758,18.14885581,0.930174044,"Sentein","H",1561,30,"Grassland",90,26,"Natural_grassland",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",68.59999847,8,22,1625.09124221976
"EHI00514","ADK06E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.92098,0.18892,0.6599,56065306,2202970,0.016997944,7759518921,336676348,0.053654014,18.42431588,0.940770907,"Sentein","H",1561,30,"Grassland",90,26,"Natural_grassland",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",68.59999847,8,22,1625.09124221976
"EHI00566","ADK11E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.92098,0.18892,0.6535,64932802,1515476,0.015274700570288,9101664168,218664855,0.057696213,19.08675912,0.942903637,"Sentein","H",1561,30,"Grassland",90,26,"Natural_grassland",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",NA,"Outside area",3,"Outside area",68.59999847,8,22,1625.09124221976
"EHI00479","ADK32E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.92734,0.19928,0.6739,102689448,498454,0.0203334795511044,14809203223,74374376,0.053395588,18.60220467,0.990214408,"Sentein","G",1255,30,"Grassland",94,23,"Broad-leaved_forest",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",68.59999847,8,22,1233.79693752705
"EHI00506","ADK20E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.92734,0.19928,0.6762,73058110,4370456,0.0271734035696976,9830172331,639271744,0.070607069,18.75733922,0.942655455,"Sentein","G",1255,30,"Grassland",94,23,"Broad-leaved_forest",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",68.59999847,8,22,1233.79693752705
"EHI00536","ADK30E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.92734,0.19928,0.7333,62072566,72600,0.0151887254796969,8971085912,10876654,0.049978805,18.45990677,0.953780885,"Sentein","G",1255,30,"Grassland",94,23,"Broad-leaved_forest",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",NA,"Outside area",1,"Broadleaved trees",68.59999847,8,22,1233.79693752705
"EHI00541","ADK28E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.92734,0.19928,0.6818,58700456,1025258,0.033615625,8250409396,152318595,0.07777377,18.35411307,0.954331786,"Sentein","G",1255,30,"Grassland",94,23,"Broad-leaved_forest",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",68.59999847,8,22,1233.79693752705
"EHI00422","ADJ34E1L1I1","Podarcis muralis","Occitanie, Sentein","Faecal","Squamata","Male","France",42.96319,0.25002,0.6566,19722596,404070,0.019604631,2793316463,58188268,0.055025672,18.65614968,0.876303607,"Sentein","F",953,10,"Tree_cover",94,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",23,"23% imperviousness",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",65.69999695,11,23,1079.55749962327
